date,open,high,low,close,volume
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198
2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.630319
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.462545
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.021543
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.866492
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.563953
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.17121
2017-09-18,3690.0,4123.2,3690.0,4035.01,1030.006455
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084
